sweep_folder,De,Wi_e,feature_score,de_key,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,sample_id,De_bar,Wi_e_bar,source_kind,dataset,R_ve,De_ve
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,10.0,0.1723692,0.7,10.0,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.1974242714799,0.964286241748956,model,clasen,0.082084999,121.82493904885105
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,30.0,0.18319268,0.7,30.0,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.5922728144397,1.02483611290833,model,clasen,0.074273578,403.91214221563416
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,100.0,0.29572286,0.7,100.0,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,1.974242714799,1.65436449939231,model,clasen,0.067205513,1487.9731667251763
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,0.01,0.71515818,0.7,0.01,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.000160701232699477,1.07273727,model,clasen,0.00018410579,54.31659699567298
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,0.03,0.7151675,0.7,0.03,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.000482103698098432,1.07275125,model,clasen,0.00055308437,54.24127244818001
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,0.1,0.71514216,0.7,0.1,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.00160701232699477,1.07271324,model,clasen,0.0018363048,54.45719033136547
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,0.3,0.71515055,0.7,0.3,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.00482103698098432,1.072725825,model,clasen,0.0055165644,54.381672767202716
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,1.0,0.71512827,0.7,1.0,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.0160701232699477,1.072692405,model,clasen,0.018315639,54.5981497014655
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,3.0,0.71546024,0.7,3.0,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.0482103698098432,1.07319036,model,clasen,0.049787068,60.25661121478373
S35_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_constant,10.0,0.74337571,0.7,10.0,constant,fenepm,11200,0.04,0.16,62.2272762443628,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C5,0.160701232699477,1.115063565,model,clasen,0.074273578,134.63738073854472
